画像,ラベル
"[[[0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176],
  ...,
  [0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176]],

 [[0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176],
  ...,
  [0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176]],

 [[0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176],
  ...,
  [0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176]],

 ...,

 [[0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176],
  ...,
  [0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176]],

 [[0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176],
  ...,
  [0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176]],

 [[0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176],
  ...,
  [0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176],
  [0.32156863, 0.47843137, 0.72941176]]]","(82, 122, 186)"
"[[[0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ],
  ...,
  [0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ]],

 [[0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ],
  ...,
  [0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ]],

 [[0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ],
  ...,
  [0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ]],

 ...,

 [[0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ],
  ...,
  [0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ]],

 [[0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ],
  ...,
  [0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ]],

 [[0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ],
  ...,
  [0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ],
  [0.58431373, 0.48627451, 0.4627451 ]]]","(149, 124, 118)"
"[[[0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725],
  ...,
  [0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725]],

 [[0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725],
  ...,
  [0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725]],

 [[0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725],
  ...,
  [0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725]],

 ...,

 [[0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725],
  ...,
  [0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725]],

 [[0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725],
  ...,
  [0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725]],

 [[0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725],
  ...,
  [0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725],
  [0.29411765, 0.31764706, 0.44313725]]]","(75, 81, 113)"
"[[[0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745],
  ...,
  [0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745]],

 [[0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745],
  ...,
  [0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745]],

 [[0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745],
  ...,
  [0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745]],

 ...,

 [[0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745],
  ...,
  [0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745]],

 [[0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745],
  ...,
  [0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745]],

 [[0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745],
  ...,
  [0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745],
  [0.21176471, 0.83921569, 0.96862745]]]","(54, 214, 247)"
"[[[0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ],
  ...,
  [0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ]],

 [[0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ],
  ...,
  [0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ]],

 [[0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ],
  ...,
  [0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ]],

 ...,

 [[0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ],
  ...,
  [0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ]],

 [[0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ],
  ...,
  [0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ]],

 [[0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ],
  ...,
  [0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ],
  [0.55294118, 0.32156863, 0.9372549 ]]]","(141, 82, 239)"
"[[[0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569],
  ...,
  [0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569]],

 [[0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569],
  ...,
  [0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569]],

 [[0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569],
  ...,
  [0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569]],

 ...,

 [[0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569],
  ...,
  [0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569]],

 [[0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569],
  ...,
  [0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569]],

 [[0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569],
  ...,
  [0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569],
  [0.8627451 , 0.36470588, 0.63921569]]]","(220, 93, 163)"
"[[[0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745],
  ...,
  [0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745]],

 [[0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745],
  ...,
  [0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745]],

 [[0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745],
  ...,
  [0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745]],

 ...,

 [[0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745],
  ...,
  [0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745]],

 [[0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745],
  ...,
  [0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745]],

 [[0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745],
  ...,
  [0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745],
  [0.29803922, 0.49019608, 0.56862745]]]","(76, 125, 145)"
"[[[0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843],
  ...,
  [0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843]],

 [[0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843],
  ...,
  [0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843]],

 [[0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843],
  ...,
  [0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843]],

 ...,

 [[0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843],
  ...,
  [0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843]],

 [[0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843],
  ...,
  [0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843]],

 [[0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843],
  ...,
  [0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843],
  [0.53333333, 0.88235294, 0.79607843]]]","(136, 225, 203)"
"[[[0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569],
  ...,
  [0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569]],

 [[0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569],
  ...,
  [0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569]],

 [[0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569],
  ...,
  [0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569]],

 ...,

 [[0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569],
  ...,
  [0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569]],

 [[0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569],
  ...,
  [0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569]],

 [[0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569],
  ...,
  [0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569],
  [0.05490196, 0.51372549, 0.83921569]]]","(14, 131, 214)"
"[[[0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353],
  ...,
  [0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353]],

 [[0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353],
  ...,
  [0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353]],

 [[0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353],
  ...,
  [0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353]],

 ...,

 [[0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353],
  ...,
  [0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353]],

 [[0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353],
  ...,
  [0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353]],

 [[0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353],
  ...,
  [0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353],
  [0.52941176, 0.00392157, 0.45882353]]]","(135, 1, 117)"
